Gene	Estimate	SE	P.Wald	P.LRT	P.Score
468	POLN	-14.426	624.166	0.982	0.116	0.191
469	RP11-113D6.6	1.014	0.687	0.14	0.118	0.125
470	SLPI	-14.459	623.906	0.982	0.118	0.193
471	CBR3	-14.408	619.382	0.981	0.119	0.194
472	UPP2	-0.746	0.501	0.136	0.121	0.127
473	CST9L	-14.411	624.055	0.982	0.122	0.2
474	DEFB126	0.145	0.094	0.123	0.122	0.122
475	DNAH2	1.071	0.774	0.166	0.122	0.138
476	OR52H1	-1	0.685	0.144	0.122	0.129
477	C5orf27	-0.459	0.303	0.13	0.124	0.126
478	CXorf58	0.897	0.611	0.142	0.126	0.13
479	ABHD12B	0.803	0.549	0.144	0.129	0.134
480	GRWD1	-14.346	623.088	0.982	0.132	0.215
481	MUC20	0.263	0.175	0.133	0.132	0.133
482	OR2D3	0.545	0.367	0.138	0.132	0.134
483	TRBV10-2	-1.5	1.126	0.183	0.135	0.146
484	GPRC6A	0.134	0.091	0.142	0.139	0.14
485	KIAA1407	0.744	0.527	0.158	0.139	0.145
486	ZNF559	1.498	1.136	0.187	0.14	0.153
487	CNTN5	0.269	0.183	0.141	0.141	0.141
488	RBM43	-1.471	1.124	0.191	0.142	0.155
489	TRAJ36	-0.563	0.412	0.171	0.142	0.151
490	OR2T4	0.189	0.13	0.146	0.145	0.145
491	C17orf80	-1.111	0.823	0.177	0.147	0.156
492	GBP5	1.452	1.125	0.197	0.148	0.161
493	KCTD18	-1.108	0.824	0.179	0.149	0.158
494	C10ORF68	0.406	0.284	0.153	0.15	0.151
495	C4orf50	-1.106	0.824	0.179	0.15	0.159
496	CEP164	-1.445	1.125	0.199	0.15	0.164
497	TMEM216	0.244	0.171	0.153	0.151	0.152
498	KRTAP29-1	0.239	0.168	0.154	0.153	0.153
499	TNNT3	1.095	0.823	0.183	0.153	0.163
500	MC1R	1.433	1.124	0.203	0.154	0.167
501	USP49	-0.835	0.61	0.171	0.155	0.16
502	CDC25A	1.422	1.123	0.206	0.157	0.171
503	LCN10	0.232	0.165	0.159	0.157	0.158
504	ADPRH	-1.415	1.124	0.208	0.159	0.173
505	TRIM58	1.409	1.122	0.209	0.16	0.174
506	CLEC4M	1.41	1.124	0.21	0.161	0.175
507	PSRC1	-1.072	0.925	0.247	0.162	0.186
508	RDH16	-0.62	0.453	0.171	0.162	0.166
509	MUC3A	-0.14	0.1	0.163	0.163	0.163
510	TEX15	1.397	1.122	0.213	0.164	0.179
511	YIPF1	-1.402	1.125	0.213	0.164	0.179
512	CCDC17	-1.394	1.122	0.214	0.165	0.179
513	HLA-B	-0.15	0.108	0.166	0.165	0.165
514	ZNF274	-0.296	0.217	0.173	0.166	0.168
515	BAG4	14.093	535.411	0.979	0.167	0.209
516	CD300LG	14.093	535.411	0.979	0.167	0.209
517	FBLIM1	14.093	535.411	0.979	0.167	0.209
518	FGFBP1	14.093	535.411	0.979	0.167	0.209
519	HIST1H2BG	14.093	535.411	0.979	0.167	0.209
520	LRRK1	14.093	535.411	0.979	0.167	0.209
521	OR13C2	0.231	0.167	0.168	0.167	0.167
522	OR4N4	14.093	535.411	0.979	0.167	0.209
523	OR8I2	0.182	0.133	0.169	0.167	0.168
524	POLR3C	-1.388	1.124	0.217	0.168	0.183
525	ATXN3	-0.737	0.557	0.186	0.173	0.177
526	ZSWIM8	-1.37	1.122	0.222	0.173	0.189
527	TIGD6	-0.186	0.137	0.175	0.174	0.174
528	C4orf47	-0.636	0.48	0.185	0.175	0.179
529	MMP10	0.604	0.454	0.184	0.176	0.178
530	P2RX7	1.364	1.123	0.225	0.176	0.191
531	LINC01100	0.917	0.709	0.196	0.177	0.183
532	TAAR9	-0.16	0.119	0.179	0.178	0.178
533	PTCHD3	0.107	0.08	0.18	0.179	0.179
534	ELOVL5	-0.739	0.58	0.202	0.18	0.187
535	ME1	-0.895	0.699	0.2	0.181	0.187
536	PRODH	0.429	0.323	0.184	0.181	0.182
537	USH2A	1.35	1.124	0.23	0.181	0.197
538	AL353698.1	13.97	535.411	0.979	0.182	0.233
539	KIAA1199	13.97	535.411	0.979	0.182	0.233
540	OCA2	13.97	535.411	0.979	0.182	0.233
541	OR2T27	-0.627	0.481	0.193	0.183	0.187
542	RFX8	0.889	0.699	0.203	0.184	0.19
543	AC079612.1	0.273	0.207	0.187	0.185	0.186
544	MDP1	-0.412	0.314	0.19	0.185	0.187
545	TSPAN16	0.216	0.163	0.186	0.185	0.185
546	AC091801.1	-0.884	0.698	0.205	0.186	0.192
547	OR5M10	0.326	0.248	0.189	0.187	0.187
548	OR9K2	0.184	0.14	0.188	0.187	0.187
549	IGLV3-12	-0.19	0.144	0.189	0.188	0.188
550	TTC24	-0.532	0.411	0.195	0.189	0.191
551	PARL	13.904	535.411	0.979	0.19	0.245
552	SMIM9	13.904	535.411	0.979	0.19	0.245
553	CFHR2	-0.74	0.611	0.226	0.191	0.203
554	TXLNG	0.558	0.434	0.198	0.191	0.193
555	BACE1	13.894	535.411	0.979	0.192	0.248
556	BTBD9	13.894	535.411	0.979	0.192	0.248
557	GLT1D1	13.894	535.411	0.979	0.192	0.248
558	MPG	13.894	535.411	0.979	0.192	0.248
559	OR6C70	13.894	535.411	0.979	0.192	0.248
560	PPP1R14D	13.894	535.411	0.979	0.192	0.248
561	TAF1B	13.894	535.411	0.979	0.192	0.248
562	ANAPC7	13.876	535.411	0.979	0.194	0.251
563	ANO7	-1.319	1.128	0.242	0.194	0.211
564	DBNDD1	13.876	535.411	0.979	0.194	0.251
565	NEK3	0.175	0.135	0.195	0.194	0.195
566	RNASEL	1.046	0.851	0.219	0.194	0.2
567	ATG4C	0.707	0.561	0.208	0.195	0.199
568	ARSD	13.868	535.411	0.979	0.196	0.253
569	DFFA	13.864	535.411	0.979	0.196	0.253
570	ELP6	13.858	535.411	0.979	0.196	0.253
571	GRIN3A	13.858	535.411	0.979	0.196	0.253
572	HYKK	-0.864	0.698	0.216	0.196	0.203
573	REP15	13.868	535.411	0.979	0.196	0.253
574	SLCO1B1	13.868	535.411	0.979	0.196	0.253
575	TNXB	13.868	535.411	0.979	0.196	0.253
576	ADAMTS12	13.85	535.411	0.979	0.197	0.256
577	DYX1C1	-0.296	0.231	0.2	0.197	0.198
578	OR2G2	13.85	535.411	0.979	0.197	0.256
579	PYCARD	13.85	535.411	0.979	0.197	0.256
580	SLC25A45	13.85	535.411	0.979	0.197	0.256
581	ZNF280A	13.85	535.411	0.979	0.197	0.256
582	EVI5	13.869	535.411	0.979	0.198	0.257
583	FBXL13	13.869	535.411	0.979	0.198	0.257
584	MOCS1	13.869	535.411	0.979	0.198	0.257
585	SEC31B	13.869	535.411	0.979	0.198	0.257
586	ZNF7	13.869	535.411	0.979	0.198	0.257
587	C7orf63	13.842	535.411	0.979	0.199	0.258
588	CDK11A	13.853	535.411	0.979	0.199	0.259
589	CTSV	13.85	535.411	0.979	0.199	0.258
590	DHX58	13.842	535.411	0.979	0.199	0.258
591	FREM3	13.842	535.411	0.979	0.199	0.258
592	GPN1	13.842	535.411	0.979	0.199	0.258
593	IFNB1	13.842	535.411	0.979	0.199	0.258
594	JMJD8	13.853	535.411	0.979	0.199	0.259
595	KIFC3	13.842	535.411	0.979	0.199	0.258
596	MEP1B	13.85	535.411	0.979	0.199	0.258
597	NLRP5	13.85	535.411	0.979	0.199	0.258
598	NLRP6	13.853	535.411	0.979	0.199	0.259
599	OGFR	13.842	535.411	0.979	0.199	0.258
600	OR7A17	13.842	535.411	0.979	0.199	0.258
601	PDS5B	13.85	535.411	0.979	0.199	0.258
602	RGPD1	13.853	535.411	0.979	0.199	0.259
603	SLC22A1	13.85	535.411	0.979	0.199	0.258
604	SLC22A4	13.853	535.411	0.979	0.199	0.259
605	STRC	13.85	535.411	0.979	0.199	0.258
606	WBP4	13.85	535.411	0.979	0.199	0.258
607	ZNF256	13.853	535.411	0.979	0.199	0.259
608	TEX13B	0.857	0.698	0.22	0.2	0.207
609	ZNF571	-1.31	1.132	0.247	0.2	0.217
610	HSH2D	13.809	535.411	0.979	0.203	0.264
611	RAF1	13.809	535.411	0.979	0.203	0.264
612	SEMA4D	13.809	535.411	0.979	0.203	0.264
613	SLC35G5	13.809	535.411	0.979	0.203	0.264
614	SRSF8	-6.905	267.706	0.979	0.203	0.264
615	ATP10D	13.827	535.411	0.979	0.204	0.266
616	CILP	13.827	535.411	0.979	0.204	0.266
617	COA4	-13.796	535.411	0.979	0.204	0.266
618	COL28A1	-13.892	535.412	0.979	0.204	0.267
619	DEFB1	-13.892	535.412	0.979	0.204	0.267
620	EPHA10	13.802	535.411	0.979	0.204	0.265
621	HMGCLL1	13.827	535.411	0.979	0.204	0.266
622	IL1RL1	13.802	535.411	0.979	0.204	0.265
623	IRF3	13.802	535.411	0.979	0.204	0.265
624	ISX	-13.796	535.411	0.979	0.204	0.266
625	ITGAE	-13.796	535.411	0.979	0.204	0.266
626	LDHB	-13.892	535.412	0.979	0.204	0.267
627	METTL7B	-13.892	535.412	0.979	0.204	0.267
628	OR1F1	13.802	535.411	0.979	0.204	0.265
629	OR6C76	-13.892	535.412	0.979	0.204	0.267
630	OTUD3	-13.892	535.412	0.979	0.204	0.267
631	PTGES3L-AARSD1	13.827	535.411	0.979	0.204	0.266
632	RAD21L1	-13.796	535.411	0.979	0.204	0.266
633	RP11-849H4.2	13.802	535.411	0.979	0.204	0.265
634	SLC41A2	13.802	535.411	0.979	0.204	0.265
635	TCHHL1	-13.892	535.412	0.979	0.204	0.267
636	TMEM208	13.802	535.411	0.979	0.204	0.265
637	TSPYL6	-13.796	535.411	0.979	0.204	0.266
638	ZNF416	-13.892	535.412	0.979	0.204	0.267
639	CDK14	13.791	535.411	0.979	0.205	0.268
640	CLCA2	13.791	535.411	0.979	0.205	0.268
641	EIF5B	-0.852	0.701	0.224	0.205	0.212
642	PDCD1LG2	-1.302	1.136	0.252	0.205	0.223
643	PRR21	0.464	0.37	0.21	0.205	0.207
644	TBC1D4	13.791	535.411	0.979	0.205	0.268
645	BTNL9	0.856	0.704	0.224	0.206	0.212
646	C3orf55	4.594	178.47	0.979	0.207	0.27
647	FEM1B	13.782	535.411	0.979	0.207	0.27
648	LRRC72	13.782	535.411	0.979	0.207	0.27
649	SLC51A	13.782	535.411	0.979	0.207	0.27
650	TEX261	13.782	535.411	0.979	0.207	0.27
651	TTLL13	13.782	535.411	0.979	0.207	0.27
652	CCL8	13.776	535.411	0.979	0.208	0.272
653	MED31	13.776	535.411	0.979	0.208	0.272
654	SLC34A2	13.776	535.411	0.979	0.208	0.272
655	SPATA16	13.776	535.411	0.979	0.208	0.272
656	ABCG4	13.777	535.411	0.979	0.209	0.273
657	ANGPTL7	13.772	535.411	0.979	0.209	0.274
658	GALNT12	13.772	535.411	0.979	0.209	0.274
659	HOMEZ	0.538	0.435	0.216	0.209	0.211
660	OR4M2	0.606	0.491	0.217	0.209	0.211
661	PNLIPRP3	-0.383	0.307	0.212	0.209	0.21
662	RFXANK	13.772	535.411	0.979	0.209	0.274
663	SCN11A	13.772	535.411	0.979	0.209	0.274
664	TRIM31	0.842	0.699	0.228	0.209	0.216
665	ANXA9	0.444	0.361	0.218	0.21	0.213
666	GRIA1	-0.641	0.523	0.22	0.21	0.214
667	AL359878.1	-13.782	535.411	0.979	0.211	0.277
668	HRNR	-13.782	535.411	0.979	0.211	0.277
669	PAICS	-13.782	535.411	0.979	0.211	0.277
670	PCDHGB3	-13.782	535.411	0.979	0.211	0.277
671	PROM2	-13.782	535.411	0.979	0.211	0.277
672	RIOK3	-13.782	535.411	0.979	0.211	0.277
673	SLC3A2	-13.782	535.411	0.979	0.211	0.277
674	SRRM5	-13.754	535.411	0.98	0.211	0.276
675	WFDC8	-13.782	535.411	0.979	0.211	0.277
676	ASB5	13.745	535.411	0.98	0.213	0.279
677	AVIL	13.745	535.411	0.98	0.213	0.279
678	DHX35	13.745	535.411	0.98	0.213	0.279
679	DMAP1	13.745	535.411	0.98	0.213	0.279
680	EXOSC1	13.745	535.411	0.98	0.213	0.279
681	GPR12	13.745	535.411	0.98	0.213	0.279
682	ICA1L	-13.734	535.411	0.98	0.213	0.28
683	MAP3K1	13.745	535.411	0.98	0.213	0.279
684	NPFFR2	-13.734	535.411	0.98	0.213	0.28
685	PTPN1	-13.734	535.411	0.98	0.213	0.28
686	PTPN21	-13.734	535.411	0.98	0.213	0.28
687	SERPINB11	13.745	535.411	0.98	0.213	0.279
688	ZNF780B	-13.734	535.411	0.98	0.213	0.28
689	AATF	13.725	535.411	0.98	0.214	0.281
690	ALLC	13.725	535.411	0.98	0.214	0.281
691	ALOX15B	13.725	535.411	0.98	0.214	0.281
692	ASCC2	13.725	535.411	0.98	0.214	0.281
693	CEP290	13.731	535.411	0.98	0.214	0.281
694	CIDEB	13.725	535.411	0.98	0.214	0.281
695	IFT27	13.731	535.411	0.98	0.214	0.281
696	NTHL1	13.731	535.411	0.98	0.214	0.281
697	OIT3	13.725	535.411	0.98	0.214	0.281
698	TEKT2	13.725	535.411	0.98	0.214	0.281
699	UBE2L6	-13.73	535.411	0.98	0.214	0.281
700	UNC5CL	13.731	535.411	0.98	0.214	0.281
701	WDR27	-0.509	0.416	0.221	0.215	0.217
702	CD33	0.453	0.372	0.223	0.216	0.219
703	COX6A1P2	13.724	535.411	0.98	0.216	0.283
704	CRYGA	13.724	535.411	0.98	0.216	0.283
705	DMC1	13.724	535.411	0.98	0.216	0.283
706	ELOF1	13.724	535.411	0.98	0.216	0.283
707	FIGF	13.719	535.411	0.98	0.216	0.283
708	MOK	0.244	0.198	0.218	0.216	0.217
709	MYO15A	13.724	535.411	0.98	0.216	0.283
710	MYO9B	13.724	535.411	0.98	0.216	0.283
711	NLRP7	13.724	535.411	0.98	0.216	0.283
712	RBBP6	13.719	535.411	0.98	0.216	0.283
713	RNF215	13.719	535.411	0.98	0.216	0.283
714	RP11-723O4.6	13.724	535.411	0.98	0.216	0.283
715	SPAG9	13.724	535.411	0.98	0.216	0.283
716	ABHD11	-13.707	535.411	0.98	0.217	0.285
717	ANKRD40	-13.713	535.411	0.98	0.217	0.286
718	AOX1	-13.713	535.411	0.98	0.217	0.286
719	ASB12	-13.713	535.411	0.98	0.217	0.286
720	C9orf85	1.366	1.193	0.252	0.217	0.223
721	CASKIN2	-13.713	535.411	0.98	0.217	0.286
722	GLYCTK	-13.708	535.411	0.98	0.217	0.285
723	IGKV1-9	-13.713	535.411	0.98	0.217	0.286
724	PFKFB1	-13.707	535.411	0.98	0.217	0.285
725	PLCD1	-13.713	535.411	0.98	0.217	0.286
726	PLCL1	-13.707	535.411	0.98	0.217	0.285
727	PTPRD	-13.707	535.411	0.98	0.217	0.285
728	SDCCAG3	-13.708	535.411	0.98	0.217	0.285
729	SLC12A7	-13.707	535.411	0.98	0.217	0.285
730	SPP1	-13.708	535.411	0.98	0.217	0.285
731	TMC8	-13.713	535.411	0.98	0.217	0.286
732	WASH4P	-13.708	535.411	0.98	0.217	0.285
733	ZNF75A	-13.713	535.411	0.98	0.217	0.286
734	ABHD14B	13.727	535.411	0.98	0.218	0.287
735	ERCC5	13.727	535.411	0.98	0.218	0.287
736	EXOC4	13.727	535.411	0.98	0.218	0.287
737	ME2	13.727	535.411	0.98	0.218	0.287
738	NAGLU	-13.7	535.411	0.98	0.218	0.287
739	RRM2B	13.721	535.411	0.98	0.218	0.287
740	SCNN1A	13.721	535.411	0.98	0.218	0.287
741	SETDB2	13.721	535.411	0.98	0.218	0.287
742	SRXN1	13.727	535.411	0.98	0.218	0.287
743	USB1	13.727	535.411	0.98	0.218	0.287
744	ZNF112	-13.7	535.411	0.98	0.218	0.287
745	ADAMTS3	-13.697	535.411	0.98	0.219	0.288
746	FAM53C	-13.698	535.411	0.98	0.219	0.289
747	FSTL1	-13.698	535.411	0.98	0.219	0.289
748	GTF2F1	-13.698	535.411	0.98	0.219	0.289
749	HMCN1	-13.698	535.411	0.98	0.219	0.289
750	IRS4	-13.698	535.411	0.98	0.219	0.289
751	NME1	-13.697	535.411	0.98	0.219	0.288
752	NSG2	-13.7	535.411	0.98	0.219	0.288
753	PIGX	-13.698	535.411	0.98	0.219	0.289
754	PRELID2	-13.698	535.411	0.98	0.219	0.289
755	SGCE	-13.697	535.411	0.98	0.219	0.288
756	THEG	-13.697	535.411	0.98	0.219	0.288
757	CCDC15	13.701	535.411	0.98	0.22	0.289
758	CNOT2	6.844	267.706	0.98	0.22	0.289
759	CNTN6	13.689	535.411	0.98	0.22	0.289
760	DES	13.689	535.411	0.98	0.22	0.289
761	DNMT3A	13.701	535.411	0.98	0.22	0.289
762	EFNB1	13.689	535.411	0.98	0.22	0.289
763	FANCI	13.689	535.411	0.98	0.22	0.289
764	FCRL4	13.701	535.411	0.98	0.22	0.289
765	GJB6	13.697	535.411	0.98	0.22	0.289
766	LRRN4	13.697	535.411	0.98	0.22	0.289
767	MATN2	13.689	535.411	0.98	0.22	0.289
768	MIPOL1	13.697	535.411	0.98	0.22	0.289
769	MUCL1	6.844	267.706	0.98	0.22	0.289
770	NLRP1	13.689	535.411	0.98	0.22	0.289
771	R3HCC1	13.689	535.411	0.98	0.22	0.289
772	SLC29A3	13.697	535.411	0.98	0.22	0.289
773	TLR1	6.848	267.706	0.98	0.22	0.289
774	TMA16	13.689	535.411	0.98	0.22	0.289
775	TMEM206	13.689	535.411	0.98	0.22	0.289
776	UBQLNL	1.336	1.178	0.257	0.22	0.226
777	UNC80	13.701	535.411	0.98	0.22	0.289
778	WDR54	13.701	535.411	0.98	0.22	0.289
779	XG	13.701	535.411	0.98	0.22	0.289
780	ALDH1L2	-13.686	535.411	0.98	0.221	0.291
781	ANKRD33	13.698	535.411	0.98	0.221	0.291
782	CCDC84	-13.712	535.411	0.98	0.221	0.291
783	CLN8	-13.689	535.411	0.98	0.221	0.291
784	GPR108	13.68	535.411	0.98	0.221	0.292
785	HLTF	-13.712	535.411	0.98	0.221	0.291
786	LRCH3	13.68	535.411	0.98	0.221	0.292
787	MYH4	13.68	535.411	0.98	0.221	0.292
788	MYH8	-13.689	535.411	0.98	0.221	0.291
789	OR52N4	-0.189	0.154	0.222	0.221	0.221
790	OR5H6	6.84	267.706	0.98	0.221	0.292
791	PTPN18	13.68	535.411	0.98	0.221	0.292
792	SERPINB13	13.698	535.411	0.98	0.221	0.291
793	SERPINB8	13.698	535.411	0.98	0.221	0.291
794	TMPRSS6	-13.689	535.411	0.98	0.221	0.291
795	TNFRSF13B	13.698	535.411	0.98	0.221	0.291
796	TRIM15	-13.712	535.411	0.98	0.221	0.291
797	UNC45B	13.68	535.411	0.98	0.221	0.292
798	VPS11	-6.839	267.706	0.98	0.221	0.291
799	ZNF169	13.68	535.411	0.98	0.221	0.292
800	ZNF471	-13.687	535.411	0.98	0.221	0.292
801	ADAM29	-13.673	535.411	0.98	0.222	0.293
802	ASB11	-13.673	535.411	0.98	0.222	0.293
803	C1orf173	-13.675	535.411	0.98	0.222	0.293
804	FEZ2	-13.675	535.411	0.98	0.222	0.293
805	ITGB1BP1	-13.675	535.411	0.98	0.222	0.293
806	MAP1A	-13.673	535.411	0.98	0.222	0.293
807	RHOF	-13.673	535.411	0.98	0.222	0.293
808	SLC25A41	-13.673	535.411	0.98	0.222	0.293
809	VSIG10L	0.177	0.146	0.224	0.222	0.222
810	AP4E1	-13.668	535.411	0.98	0.223	0.295
811	APBB3	13.67	535.411	0.98	0.223	0.293
812	APPL2	-13.668	535.411	0.98	0.223	0.294
813	ATP9B	-13.668	535.411	0.98	0.223	0.295
814	BBS1	13.674	535.411	0.98	0.223	0.294
815	DHTKD1	13.67	535.411	0.98	0.223	0.293
816	FAM69C	13.674	535.411	0.98	0.223	0.294
817	HBP1	13.67	535.411	0.98	0.223	0.293
818	ITLN2	13.674	535.411	0.98	0.223	0.294
819	KCNG1	13.67	535.411	0.98	0.223	0.293
820	LCT	13.667	535.411	0.98	0.223	0.295
821	MYO19	-13.668	535.411	0.98	0.223	0.295
822	OR5T2	-13.668	535.411	0.98	0.223	0.294
823	PAGE2	13.674	535.411	0.98	0.223	0.294
824	PCDP1	-13.668	535.411	0.98	0.223	0.294
825	PDCD4	-13.668	535.411	0.98	0.223	0.294
826	PMEL	-13.668	535.411	0.98	0.223	0.295
827	PRUNE	-13.668	535.411	0.98	0.223	0.294
828	SNF8	-13.667	535.411	0.98	0.223	0.295
829	STK16	13.674	535.411	0.98	0.223	0.294
830	STK40	13.667	535.411	0.98	0.223	0.295
831	SULT6B1	-13.668	535.411	0.98	0.223	0.295
832	TAF9	13.667	535.411	0.98	0.223	0.295
833	TRAPPC12	13.67	535.411	0.98	0.223	0.293
834	VPS8	-13.668	535.411	0.98	0.223	0.295
835	ZNF695	13.67	535.411	0.98	0.223	0.293
836	AC140481.2	-13.661	535.411	0.98	0.224	0.296
837	ANGPTL6	-13.662	535.411	0.98	0.224	0.295
838	AQP7	-13.663	535.411	0.98	0.224	0.296
839	C19orf55	-13.678	535.411	0.98	0.224	0.295
840	CATSPER4	-13.661	535.411	0.98	0.224	0.296
841	CCDC37	-13.678	535.411	0.98	0.224	0.295
842	CLCA1	13.661	535.411	0.98	0.224	0.296
843	CLEC4F	13.67	535.411	0.98	0.224	0.296
844	CNGA3	13.686	535.411	0.98	0.224	0.296
845	CNR2	-13.662	535.411	0.98	0.224	0.295
846	DCBLD2	13.664	535.411	0.98	0.224	0.296
847	DCDC2B	-0.626	0.534	0.241	0.224	0.23
848	DGAT2L6	13.666	535.411	0.98	0.224	0.296
849	DPEP2	-13.668	535.411	0.98	0.224	0.296
850	DUSP5	13.661	535.411	0.98	0.224	0.296
851	FABP5	13.686	535.411	0.98	0.224	0.296
852	FNDC1	13.666	535.411	0.98	0.224	0.296
853	GPR152	13.686	535.411	0.98	0.224	0.296
854	GXYLT1	-13.662	535.411	0.98	0.224	0.295
855	HARBI1	-13.663	535.411	0.98	0.224	0.296
856	HPS3	-13.661	535.411	0.98	0.224	0.296
857	HSPA4L	-13.667	535.411	0.98	0.224	0.296
858	IL2RB	-13.663	535.411	0.98	0.224	0.296
859	INCA1	13.686	535.411	0.98	0.224	0.296
860	KCNAB1	13.664	535.411	0.98	0.224	0.296
861	KIF16B	-13.661	535.411	0.98	0.224	0.296
862	KRTAP4-5	-13.678	535.411	0.98	0.224	0.295
863	MAN1B1	-13.661	535.411	0.98	0.224	0.296
864	MUC4	13.664	535.411	0.98	0.224	0.296
865	NDUFS4	-13.663	535.411	0.98	0.224	0.296
866	POLE2	13.661	535.411	0.98	0.224	0.296
867	POLH	-13.661	535.411	0.98	0.224	0.296
868	RP11-195B21.3	-13.662	535.411	0.98	0.224	0.295
869	RPP30	-13.668	535.411	0.98	0.224	0.296
870	SDCCAG8	13.67	535.411	0.98	0.224	0.296
871	SGOL2	13.664	535.411	0.98	0.224	0.296
872	SLC17A3	13.666	535.411	0.98	0.224	0.296
873	SLFN12	-13.668	535.411	0.98	0.224	0.296
874	SMYD4	-13.663	535.411	0.98	0.224	0.296
875	SRSF3	-13.678	535.411	0.98	0.224	0.295
876	TMEM67	13.686	535.411	0.98	0.224	0.296
877	TROVE2	-13.662	535.411	0.98	0.224	0.295
878	ZDHHC11	13.661	535.411	0.98	0.224	0.296
879	ZNF525	13.664	535.411	0.98	0.224	0.296
880	AC079354.1	-0.815	0.7	0.244	0.225	0.233
881	BICD1	13.658	535.411	0.98	0.225	0.296
882	BPHL	13.658	535.411	0.98	0.225	0.296
883	CCDC175	-13.658	535.411	0.98	0.225	0.297
884	DDX55	-13.657	535.411	0.98	0.225	0.297
885	FOXK2	-13.66	535.411	0.98	0.225	0.296
886	GSTZ1	13.654	535.411	0.98	0.225	0.297
887	HDDC2	13.654	535.411	0.98	0.225	0.297
888	IDI2	0.284	0.235	0.227	0.225	0.226
889	IQCG	-13.657	535.411	0.98	0.225	0.297
890	KCNK16	13.654	535.411	0.98	0.225	0.297
891	MAML3	-13.658	535.411	0.98	0.225	0.297
892	RPRD2	-13.66	535.411	0.98	0.225	0.296
893	SLC1A7	13.658	535.411	0.98	0.225	0.296
894	SLC27A2	-13.657	535.411	0.98	0.225	0.297
895	SLC9C1	13.658	535.411	0.98	0.225	0.296
896	STEAP4	13.658	535.411	0.98	0.225	0.296
897	TTLL2	-13.657	535.411	0.98	0.225	0.297
898	VILL	-13.657	535.411	0.98	0.225	0.297
899	ZNF730	13.658	535.411	0.98	0.225	0.296
900	AKR1C3	-13.695	535.411	0.98	0.226	0.299
901	BCAN	13.646	535.411	0.98	0.226	0.299
902	C20orf112	-13.666	535.411	0.98	0.226	0.298
903	DGAT1	-13.652	535.411	0.98	0.226	0.298
904	DPY19L4	-13.652	535.411	0.98	0.226	0.298
905	DTNBP1	-13.695	535.411	0.98	0.226	0.299
906	DYNC2H1	13.655	535.411	0.98	0.226	0.299
907	EMC1	-13.666	535.411	0.98	0.226	0.298
908	FANCA	-13.652	535.411	0.98	0.226	0.298
909	GSDMC	-13.652	535.411	0.98	0.226	0.298
910	HFM1	13.653	535.411	0.98	0.226	0.298
911	HJURP	-13.695	535.411	0.98	0.226	0.299
912	IGKV1-5	13.653	535.411	0.98	0.226	0.298
913	MBIP	-13.652	535.411	0.98	0.226	0.298
914	MED23	13.653	535.411	0.98	0.226	0.298
915	NBAS	-13.652	535.411	0.98	0.226	0.298
916	NIF3L1	-13.652	535.411	0.98	0.226	0.298
917	OAS1	13.646	535.411	0.98	0.226	0.299
918	OR10K2	-13.652	535.411	0.98	0.226	0.298
919	OR2B3	-13.666	535.411	0.98	0.226	0.298
920	OR6T1	13.646	535.411	0.98	0.226	0.299
921	PARD3B	-13.652	535.411	0.98	0.226	0.298
922	PLS1	-13.652	535.411	0.98	0.226	0.298
923	RP11-1070N10.3	-13.695	535.411	0.98	0.226	0.299
924	RPF1	-13.695	535.411	0.98	0.226	0.299
925	SAA1	-13.666	535.411	0.98	0.226	0.298
926	SAMD3	-13.652	535.411	0.98	0.226	0.298
927	SEC23IP	13.655	535.411	0.98	0.226	0.299
928	SEMA4G	13.653	535.411	0.98	0.226	0.298
929	SMG8	13.646	535.411	0.98	0.226	0.299
930	SRD5A3	-13.652	535.411	0.98	0.226	0.298
931	TBC1D22A	-13.666	535.411	0.98	0.226	0.298
932	TCTE1	13.646	535.411	0.98	0.226	0.299
933	TMEM116	-13.652	535.411	0.98	0.226	0.298
934	UBXN10	13.646	535.411	0.98	0.226	0.299
935	WNT8B	13.655	535.411	0.98	0.226	0.299
936	ZNF510	13.646	535.411	0.98	0.226	0.299
937	ADM2	-13.643	535.411	0.98	0.227	0.3
938	AURKC	-13.645	535.411	0.98	0.227	0.3
939	B4GALNT2	-13.643	535.411	0.98	0.227	0.3
940	CCDC13	13.644	535.411	0.98	0.227	0.3
941	CCDC67	-13.643	535.411	0.98	0.227	0.3
942	CDSN	13.644	535.411	0.98	0.227	0.3
943	CNBD1	-13.643	535.411	0.98	0.227	0.3
944	COX18	-6.823	267.706	0.98	0.227	0.3
945	DDTL	-13.645	535.411	0.98	0.227	0.3
946	DDX56	13.644	535.411	0.98	0.227	0.3
947	HSF5	13.644	535.411	0.98	0.227	0.3
948	IL1RN	13.644	535.411	0.98	0.227	0.3
949	ITGAX	-13.643	535.411	0.98	0.227	0.3
950	KANK2	13.644	535.411	0.98	0.227	0.3
951	KIAA0947	13.644	535.411	0.98	0.227	0.3
952	LYVE1	-13.644	535.411	0.98	0.227	0.3
953	MCMDC2	-13.643	535.411	0.98	0.227	0.3
954	NUTM2G	13.643	535.411	0.98	0.227	0.3
955	PARP9	13.643	535.411	0.98	0.227	0.3
956	PLEKHG1	-13.644	535.411	0.98	0.227	0.3
957	QPCTL	-13.646	535.411	0.98	0.227	0.3
958	R3HDML	13.644	535.411	0.98	0.227	0.3
